Marker	Ch1
1	42995
1	5C256
1	14FD1
1	4399D
1	2F213
1	5D358
1	9484A
1	43BB7
1	5CBE6
1	14C59
1	953E5
1	2EC8C
1	5DE5A
1	94C3B
1	45009
1	5D29A
1	14A94
1	94F7F
1	2E0A2
1	5D82F
1	94285
1	4536E
1	2DFB2
1	1486E
1	94ADE
1	2CCF3
1	5DC10
1	94005
1	46202
1	2D946
1	1472E
1	93EC9
1	2C861
1	5E05D
1	1459F
1	47652
1	2D0F3
1	144CD
1	93D9C
1	2C43A
1	5EA3C
1	9408D
1	4864B
1	C00000
1	14698
1	94DBA
1	2CD3C
1	5FF8F
1	95601
1	49FCC
1	5FF24
1	14ADD
1	4ABD3
1	2CCB9
1	6173C
1	963E2
1	4B47A
1	61532
1	14E27
1	4BF90
1	2CADC
1	1490E
1	96242
1	4BCC0
1	6230F
1	14764
1	4D0A4
1	2C96E
1	148BE
1	9699A
1	2C559
1	63368
1	1461C
1	4DCFA
1	2C49C
1	14969
1	96B05
1	2BB7B
1	63F1B
1	96420
1	4EA5A
1	2BA2D
1	1473A
1	96A6A
1	2B2A6
1	645FD
1	96602
1	501F8
1	193C2
1	146C4
1	97314
1	2B37C
1	66301
1	966B6
1	51A41
1	65D37
1	14560
1	969EB
1	2AA76
1	66719
1	967C9
1	52BA3
1	6634B
1	14642
1	53A2E
1	2A948
1	671D2
1	967B5
1	53AF9
1	66E16
1	14AA3
1	54758
1	2A456
1	1482F
1	9585C
1	54197
1	67967
1	148FA
1	552DB
1	29D94
1	1493D
1	95B1F
1	29830
1	68098
1	14544
1	5662A
1	29445
1	145DD
1	94EA5
1	2902F
1	687DC
1	94A10
1	5762E
1	28BDF
1	146D5
1	946EA
1	27B5F
1	68D75
1	940E9
1	58A65
1	695EE
1	14688
1	9417D
1	27BD3
1	69E45
1	93594
1	59BE2
1	69D68
1	14628
1	5A80F
1	27A2F
1	6AEA6
1	925A7
1	5A6F3
1	6A5EA
1	149C3
1	5B926
1	26FAB
1	147C7
1	913EE
1	5B49C
1	6ACCD
1	14DBE
1	5C22D
1	267E4
1	14A3A
1	90B94
1	263D0
1	6B0B9
1	14623
1	5D597
1	261C9
1	149EB
1	901A9
1	25E9E
1	6B999
1	8FA08
1	5DE63
1	25C2E
1	148D8
1	8F7CF
1	255A1
1	6C2BC
1	8ED09
1	5EEAC
1	6CEC9
1	14B01
1	8EAE0
1	2497F
1	6C4B3
1	8E24F
1	60520
1	6C92E
1	14877
1	60B95
1	2444A
1	6D072
1	8CA6A
1	60E0B
1	6C47F
1	14D62
1	61175
1	2384B
1	14A3B
1	8AC8B
1	60F70
1	6BB5C
1	148EC
1	61DF7
1	22EB1
1	14B1E
1	89F7A
1	61C25
1	6BB96
1	14C9C
1	62E43
1	22842
1	14F4C
1	89976
1	62C33
1	6C10C
1	14FD2
1	64161
1	221D9
1	15108
1	89790
1	63A95
1	6C88F
1	1529C
1	6538D
1	21A37
1	151B3
1	89471
1	21D44
1	6CD85
1	15228
1	663CD
1	21D46
1	152BA
1	894E8
1	21786
1	6D5CC
1	15402
1	68002
1	216B4
1	15680
1	88971
1	211E8
1	6DA67
1	15733
1	69410
1	21017
1	158AD
1	885C6
1	10687
1	6DE63
1	15C1C
1	6A91D
1	20533
1	15C12
1	8807B
1	C00000
1	6E1EE
1	15B51
1	6BA61
1	20015
1	160B5
1	878B1
1	6C04F
1	6E8B4
1	16151
1	6D949
1	1FD33
1	164EB
1	884DD
1	6DA28
1	6F62D
1	16182
1	6F352
1	1FAD8
1	16709
1	87AAF
1	6E48E
1	6FEE9
1	163AC
1	6F8ED
1	1EEDE
1	6F89B
1	868D4
1	6F46A
1	6FBFE
1	166B1
1	86C28
1	1E17A
1	6F0F4
1	864F9
1	70D8C
1	1F058
1	1691A
1	865FC
1	1EED8
1	702E5
1	16D6D
1	7206B
1	1E649
1	16E08
1	8474A
1	715B0
1	6FDA5
1	16C20
1	72385
1	1DDE7
1	1721F
1	82CF4
1	71C41
1	6EB8F
1	16AF2
1	71FE0
1	1D560
1	170DC
1	804C1
1	707DD
1	6D53A
