Marker	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6	Ch7	Ch8
1	5B91C	48347	45C64	55F26	10AD7	DEF1	7E92	8133
1	1D232	27A12	28E40	1F1E6	1D4B9	1C57C	1958C	192D7
1	61994	86E9D	8C706	685E4	618E4	5DF7A	53D6C	52DB5
1	CA14	10058	10C03	D227	A4DC	9DAB	88B6	8693
1	8B576	6E9EC	6BDE7	82EDB	1A6C2	160ED	C6C5	CAAE
1	5DD83	49EE6	476A9	580A5	1117E	E43E	818B	843A
1	1C117	262A3	275FC	1DEF7	1C245	1B430	185E3	18320
1	61CAC	87232	8C9C7	6875C	618CE	5E103	53E7A	52E5E
1	CEB8	108F5	114C0	8	9CC506	D6DB06	A9F708	173801
1	5FB81	4B6BF	48CAE	59C44	1166E	E866	83DC	8682
1	1B320	24E8F	261D5	1D025	1B47D	1A693	179EF	177AE
1	61E76	8725B	8CBB3	6897E	61BAD	5E2F2	540CA	53151
1	D220	10FFA	11C97	DB93	B2E0	AB7A	9575	930F
1	87E46	6BFC7	693EC	7FB50	19C43	158CD	C1EC	C53D
1	61B05	4CFA2	4A4F8	5BA29	11C51	ED7B	86AC	8974
1	1A252	238A9	24ADE	1BEA0	1A414	1965D	16B5A	16912
1	61D6D	8743C	8CDD1	68A08	61D54	5E352	5411F	5314E
1	D6DC	118F4	12672	E145	BAC1	B2FE	9C71	99F8
1	864DD	6A8D2	67F3E	7E2B3	1956F	1527A	BE5E	C220
1	6418E	4ECC1	4C23F	5DE1D	12309	F2D8	89D3	8C9C
1	19817	22B6D	23C60	1B354	19849	18B76	1611E	15ECB
1	61EDC	87862	8CEBC	68A8F	61BD4	5E37D	54095	5309B
1	D94D	11E8E	12BFC	E43D	BFDC	B82F	A153	9ED1
1	84079	68DD5	662FB	7C101	18F32	14DBE	BBE0	BF3E
1	65B0B	501C4	4D4F8	5F61A	127D6	F6C1	8C33	8EDE
1	18E94	21AE1	22C30	1A8E3	18ECF	18244	1595D	1577E
1	62E3C	88598	8DF8C	69A63	62C16	5F324	54F8C	5400D
1	E0CB	12A92	138EE	EC98	CA12	C218	AA48	A795
1	825C7	67CCE	652DA	7A90A	18E57	14D35	BB4F	BE68
1	68623	524F7	4F734	61EF7	1306D	FE30	905F	9320
1	17D39	2059A	215E0	196F2	17D44	170E4	1496A	14786
1	620D1	878DC	8D100	68E1F	620E1	5E712	54460	5347A
1	E43F	130EF	13FA2	F0C8	D006	C7C6	AFAC	ACDD
1	69873	52FB3	50386	62EF2	1328E	FFD9	9125	9441
1	174D1	1F82D	20773	18D1F	17364	167F6	141AF	13FD4
1	63108	88D18	8E53F	69D51	62DE1	5F565	55199	541C6
1	EDB7	13FAC	14F3A	FB0C	DAA3	D226	B8F2	B621
1	7F509	653EF	62C4C	77A91	18356	14302	B59C	B90D
1	6C670	556AE	5280D	65ABF	13C52	10778	95D1	989E
1	16C0D	1EBB1	1FB1B	183FE	16A24	15EC5	13924	137A1
1	638DD	8974D	8F143	6A68A	63667	5FD23	557FA	54892
1	F48D	14A69	15A7E	102A8	E359	DAA7	C0B1	BDB0
1	7D409	63B10	6129F	75C64	17C8B	13E81	B2E2	B600
1	6E3B0	56E6C	53DFD	676A8	140E6	10BF0	9846	9B30
1	15B93	1D524	1E3AE	17295	15990	14E6B	12A6D	128E8
1	632BB	88E91	8E8A8	6A120	633ED	5F985	5552C	5453C
1	FC2C	1561E	1671D	10B3E	ED96	E469	C9C4	C695
1	7ACAE	618C1	5F443	73662	171D6	134F2	AD65	B110
1	70AB3	58B3C	55C43	69AF0	14661	11072	9AD2	9DFC
1	15384	1C8CB	1D63D	16952	14F63	1450D	12211	12094
1	637B9	894F3	8ECF2	6A514	63599	5FCD2	5582B	5485C
1	103C8	161F3	1734B	1138A	F652	ECFE	D15A	CE32
1	79236	6082C	5E33B	71E4D	17420	13672	AE22	B19A
1	725B3	5A26B	571D9	6B434	14E34	11662	9E30	A118
1	1476D	1B7D3	1C553	15C73	142A0	13887	116A3	11575
1	62E16	887E9	8E0D9	69B2A	62CDD	5F413	55010	540D8
1	7634B	5DF0E	5B95B	6F101	163EA	1299C	A6F6	A994
1	748A0	5BBEC	58933	6D433	1517B	11999	A010	A2E5
1	13FB3	1AC09	1B875	1541F	139F8	12FEC	10EFB	10DD5
1	63958	897A6	8F00A	6A80B	63AF7	60096	55B8C	54BD5
1	113FE	17AA0	18D43	12562	1097F	FF63	E205	DE85
1	7574A	5D9EA	5B7A9	6E87D	164AD	12A22	A6E2	AA9A
1	770FC	5DDE4	5AC9F	6FBF5	159CC	120A5	A3D6	A73D
1	138E8	1A037	1ABB6	14BF0	130D6	12793	1078D	1066B
1	6408B	89C72	8F36B	6AD10	63E72	605DB	560C2	550F9
1	11CF9	18797	19ABF	12EDD	11354	10913	EACF	E74C
1	72D36	5BA1B	59783	6C060	15FC0	12540	A422	A76B
1	789F6	5F210	5BF2B	712A8	15F78	1249C	A635	A938
1	125D2	187C8	19365	137D4	11C90	11389	F510	F440
1	62AC5	884E7	8DE7C	696A3	62990	5F0CB	54CF9	53DD8
1	1262C	1957E	1A985	138C2	11DCD	11348	F409	F059
1	70022	5935B	56FA2	69513	1561C	11E3F	A071	A320
1	7B576	6138A	5DDB9	73B3A	C00000	123F7	18395	18E56
1	63B72	89CF2	8F5AC	6A9B8	63D02	60264	55D62	54D70
1	131DB	1A63F	1BB05	14594	12A73	11F2E	FECA	FAD6
1	6F3C5	58C15	56C01	68B69	15566	11D86	9FB4	A356
1	7D8FB	62F82	5FBC0	75DB8	16DA3	1312C	AD53	B0D2
1	1207D	17CF3	186C4	131B8	113C3	10ABE	ED3F	EC61
1	64719	8ACD3	903FA	6B6A7	64969	60E16	56809	5582D
1	13BBA	1B51A	1CA71	15058	13537	12989	1081D	1042C
1	6C4CA	56362	542C6	65CEA	14897	111B4	9949	9C28
1	7F284	6416B	60B8E	77387	17083	13293	AE68	B161
1	1134A	168DD	1728F	122EE	103B2	FB6A	DF29	DE9D
1	635B8	890ED	8E981	6A21F	634C7	5FBD3	55718	5482B
1	14544	1C213	1D818	15A3E	13EB2	13301	1108B	10C8A
1	6AC31	55397	53329	6472D	14547	1104A	983C	9AF1
1	8133C	65E91	627EF	7934D	1774A	13916	B1E8	B50B
1	10FC6	161D4	16AB1	11ED9	FE39	F627	DA99	DA0F
1	6433B	8A0DB	8F891	6B0EA	643C4	60AAC	5657F	555C7
1	15284	1D478	1EB57	16899	14CDC	140B1	11E00	34
1	83126	6759B	64086	7B087	17D79	13ECF	B503	B8AF
1	31596	438FC	45E70	34C7C	3191C	2FEC0	2AE41	2A7E0
1	522A9	72190	77093	57F80	51F36	4EEEA	465BD	45783
1	FFD1	E641	E6F9	F611	51D6	49D0	34A4	3433
1	A5FB3	83D7E	7FFA7	9BF60	1EFA6	19DEC	EA08	EDC3
1	3702E	2B67A	29C1A	339B5	9DB2	838C	49B4	4BAF
1	2F4AF	40CFD	4319C	32A35	2F8C2	2DEE9	2913B	28B8C
1	522BD	72169	7707A	5804A	51FDF	4EF2F	465AF	457CE
1	F551	DF2F	E0A1	EC7F	51FF	4A3D	35E0	3579
1	A42CE	82317	7E93F	9A3FE	1EA9C	19973	E784	EC2A
1	384AA	2C5D0	2ABCE	34CE6	A22D	8774	4BEE	4E3F
1	2F3EC	408F2	42C26	32949	2F90E	2DEF7	2923D	28C7D
1	54313	74C2D	79C39	5A373	54234	50F62	48347	474C8
1	F050	DE3B	E027	E864	553F	4D66	38F8	3878
1	A48FC	82B39	7F11E	9A9AE	1EF83	19D1F	E950	EDD5
1	3A5C1	2E07F	2C5BD	36BEE	A89C	8CB2	4EDB	5117
1	2E1CA	3EFF7	41260	314E7	2E4EE	2CC95	2817D	27BD6
1	54EB7	75BCE	7AC50	5AE9B	54B64	519BA	48C3A	47DE7
1	E6F9	D893	DABE	DFED	554C	4E09	3A67	39C8
1	A3327	8184F	7DC39	99424	1E67D	19659	E56E	E93D
1	3C05A	2F52C	2D8B2	38486	AC94	8FF9	50C6	52E2
1	2D5BC	3DCC9	3FF1D	3083F	2D9B6	2C18C	277D0	272A9
1	56929	77D2D	7CFB5	5CB26	566AC	533EB	4A3B6	49557
1	E1D6	D7A7	DAA9	DBE0	5913	51CE	3E21	3D89
1	A25B2	80DFF	7D5CC	988E8	1E80E	19795	E5D3	EAE0
1	3DC38	30AF8	2EEC1	39F06	B252	94ED	537C	55FE
1	2C2BA	3C5D3	3E60D	2F507	2C7F5	2AFC3	267D0	26289
1	573BB	7900F	7E171	5D87B	57416	53FB1	4AE5C	49F68
1	DB0C	D497	D7F6	D5F1	5B02	53C9	409B	3FD9
1	A0D67	7F993	7C149	970C2	1E32E	192DE	E35E	E7B3
1	3F389	31D2F	30076	3B49D	B6C9	9889	55A4	57EF
1	2A9E4	3A2AC	3C41B	2D999	2AD35	296AC	2510F	24BCB
1	57B03	79885	7EE61	5DEFC	57876	54525	4B2F1	4A3E8
1	D389	D1BC	D593	CF83	5D18	5649	436C	4290
1	9F7AE	7EAD5	7B029	95CB1	1DE03	18F19	E0FC	E4C3
1	41572	338D0	319E3	3D471	BCA6	9D43	585C	5A8C
1	29A6C	38E52	3ADD4	2C96A	29E00	287BB	2431E	23E7F
1	58AFA	7AE49	80265	5F03D	5887D	5546A	4BFFD	4B14D
1	D019	D1BD	D601	CCD8	603F	597F	46CE	45F1
1	9F057	7E46D	7AB5D	95590	1DB4C	18CBE	DF4B	E432
1	434E5	3514F	3320A	3F1E8	C1C6	A1C0	5AC4	5D5D
1	2878C	37461	39264	2B562	28C63	27658	23490	22FEA
1	597FC	7BF9B	81403	5FEE5	5989B	5630A	4CE99	4BF7C
1	CB7B	D11D	D61B	C932	6446	5D74	4AE3	49E1
1	9D69D	7CCF9	79518	93BFB	1D84B	18991	DD9D	E1F9
1	45144	36662	34676	40C06	C735	A61B	5D50	5FB8
1	271A9	3568C	37518	29D8B	27496	26008	21FD8	21B46
1	59D66	7C7B7	81EE7	603F7	59AA2	56640	4D042	4C143
1	C8EF	D26E	D7E0	C788	672C	6098	4E2E	4D18
1	9CDB4	7C78B	78F16	93434	1D30E	18579	DB86	DF5A
1	47124	38055	35F1F	429F6	CCBB	AA8B	6002	6250
1	26628	345B3	36284	2914B	26990	2553C	21667	2126D
1	5AD33	7DCAC	83260	6150F	5AB2D	575ED	4DE6D	4CFC3
1	C50C	D2C4	D8D0	C4B6	6B54	64C4	522F	50EE
1	9B5D5	7B70B	78210	92026	1D3FB	186D1	DC0C	DFAA
1	4917D	39AC7	379B6	44940	D3CF	B0D8	6383	65F2
1	2538C	32F48	34AD0	27E48	257BD	24377	20605	201EF
1	5B3C7	7E9BF	83F9E	61DB6	5B417	57D73	4E4FE	4D5B7
1	BED0	D0D6	D75E	BF7A	6E8B	6823	55E6	549F
1	98532	79037	75A11	8F141	1C9F2	17ED4	D76C	DB98
1	4ACDA	3B060	38DCD	462A4	D7B0	B414	6551	67C4
1	2456C	31839	33418	26DD5	24892	235AD	1FA43	1F633
1	5C749	7FEE4	85786	6303E	5C5C4	59020	4F674	4E70D
1	C0F7	D6F5	DDF8	C268	74AC	6E3F	5B9E	5A42
1	98470	78F81	7578D	8F029	1C98D	17E25	D700	DAC1
1	4CF45	3CB3E	3A6A0	4828C	DE70	B961	6886	6ADD
1	232E5	3001A	31A5A	25A4C	23663	223C4	1EA39	1E70F
1	5C6E9	7FFCA	85631	6301B	5C61F	58FEB	4F687	4E8B4
1	BD9F	D6DA	DE2A	BFC4	7763	7102	5EB2	5D65
1	9616B	7726E	73CB2	8CF12	1BFDD	17567	D1C3	D6EA
1	4E7DC	3DE36	3B9C3	499A3	E241	BC9E	6A2F	6D40
1	22103	2E8A9	30220	247A0	225BB	21347	1DB78	1D7EF
1	5D526	816DD	86FF7	640D0	5D7FE	59FFB	504B2	4F57C
1	BE4E	DCD5	E534	C1B2	7EF8	7845	655E	63DF
1	94A19	7620C	72C55	8BA34	1C15C	1764C	D236	D68A
1	50EE2	3FD9F	3D79D	4BEAA	EAEB	C3B8	6E4C	70EA
1	213FA	2D57A	2EF51	2390D	216ED	205AB	1CEA7	1CB11
1	5E157	82414	87F38	64C3B	5E031	5A989	50C39	4FCA9
1	BD5E	DF80	E842	C174	8341	7CD6	6A00	6856
1	92C8F	7480A	7113B	89D31	1B708	16E93	CE01	D180
1	5313B	417F5	3EFDE	4DE46	EFF1	C7F5	70D2	7347
1	1FD0F	2B760	2CF31	220E3	2004F	1EF6C	1BB80	1B862
1	5E20A	8267F	87F27	64D86	5E1B0	5AA29	50F05	4FFAA
1	BFA6	E5E8	EF41	C4A0	8A1E	837F	E0000	48C5
1	5538F	4339D	40C78	4FF1D	F69F	CDC8	7453	7748
1	1F07D	2A4C5	2BB73	2128D	1F2D4	1E2EC	1B051	1AD2C
1	5EBDF	831CA	88A4C	656B9	5EA81	5B39B	51708	50761
1	C0C4	EAF0	F4DB	C69E	8FF1	8930	75A6	73D0
1	8FE6A	72589	6F341	872BF	1B182	16934	CAD9	CECB
1	5742B	44D5C	42548	51D89	FD22	D2E7	7714	79B0
1	1E7C0	29809	2AF08	2099D	1EA6F	1DAD4	1A8D1	1A5A0
1	5F9A0	84429	89EBB	66674	5F8F6	5C1B5	522EB	512FE
1	C1BD	EFBE	FA18	C86A	9533	8E86	7ABB	78CB
1	8DD24	70B58	6D856	85399	1A8B9	162BA	C731	CA9C
1	59223	465AA	43BCE	5399E	10234	D735	79A1	7C2B
1	1D60C	27FFE	2957C	1F716	1D945	1C9E6	199DE	19724
1	60602	853EB	8AD70	67463	60728	5CEB9	5300F	5205B
1	C76C	F9EF	10504	CF11	9ED6	97E3	8399	8181
1	8CB56	6FC21	6CC98	84391	1A5F2	16022	C5E8	CA63
1	5BC2D	48600	45C5E	56193	10968	DD6E	7D53	8065
1	1C524	2693B	27D6A	1E47C	1C749	1B8FB	18A96	187D3
1	5FF50	84CB0	8A4F2	66CAA	5FF2D	5C804	5294B	51950
1	C736	FD75	108FF	CFAB	A366	9C74	87C4	8594
1	89FAC	6DACA	6AB40	819E1	1A0EA	15CC5	C399	C76E
1	5D8D0	49D27	4727D	57C20	10FBE	E2DC	802E	82DC
1	1B79E	255CD	26A52	1D62C	1B9C7	1ABE7	17E81	17C45
1	60E97	85F94	8BAE5	67D27	60E43	5D6C5	53583	52689
1	CCED	107FE	11438	D64B	AC5C	A551	9004	8DC2
1	87CBE	6BE14	68D90	7F859	19573	152D8	BE72	C183
