Marker	Ch1
0       34BC3
0       11CEB
0       7D3F9
0       33413
0       67011
0       7B1D6
0       40F22
0       2FABB
0       11D31
0       78895
0       2E307
0       6A04D
0       76369
0       47E7D
0       6A8C4
0       11FBA
0       7315A
0       29596
0       6CA3F
0       7090F
0       4E8FC
0       6D6CC
0       13331
0       6D79E
0       2472C
0       6E307
0       6AC6A
0       55826
0       6F27E
0       15011
0       6753C
0       21138
0       702B3
0       64436
0       5C0CD
0       6F2BF
0       16D47
0       6118A
0       1D8D4
0       70F86
0       5E193
0       62CC1
0       7057D
0       19E8B
0       5A79F
0       1ACDD
0       715A5
0       572FC
0       696C1
0       6F752
0       1CC22
0       538BC
0       17FDE
0       70268
0       50542
0       6ECBF
0       6EF6C
0       20C2E
0       71627
0       169C5
0       6F6BA
0       49714
0       74C3C
0       6D8AC
0       25345
0       76CF9
0       1557C
0       6D437
0       42DA8
0       7AF25
0       6AFE3
0       29B6B
0       7BA25
0       14CB2
0       6A779
0       3BFDB
0       7F384
0       685A7
0       2EFC6
0       80F20
0       152FB
0       67026
0       3514B
0       81D03
0       64B99
0       3438B
0       841DC
0       15DAE
0       633AC
0       2EF82
0       85C91
0       60EC9
0       3A01F
0       8764C
0       176F1
0       3D369
0       29852
0       88D8C
0       5C880
0       3F87F
0       8A088
0       19A12
0       42F75
0       245C0
0       8AB1D
0       57BDF
0       4524E
0       8B996
0       1CA8D
0       48782
0       1F80F
0       8AD41
0       52755
0       49F2B
0       8BF7A
0       20316
0       4DEB2
0       1BB74
0       22C37
0       4D59D
0       4F47C
0       8B5D4
0       2454C
0       5310E
0       18B17
0       26F47
0       48171
0       5C000
0       895EE
0       2924C
0       584A1
0       15DC2
0       2BC3A
0       42A7E
0       14EE0
0       86C94
0       2E84B
0       5CF5A
0       1401F
0       31563
0       3D1DB
0       13192
0       834C6
0       343B8
0       61688
0       1281A
0       37795
0       37C74
0       12295
0       8018B
0       3B0C5
0       6511B
0       11BCD
0       3D9CE
0       32731
0       11B0C
0       7B794
0       30317
0       68B00
0       11B7D
0       440F5
0       2D65C
0       11D1A
0       7654B
0       2B133
0       6B6BA
0       12241
0       4B804
0       289E1
0       12C01
0       70C3E
0       26740
0       6DF75
0       C00000
0       528BF
0       241FE
0       13D97
0       6A5C1
0       223F2
0       6FC21
0       67618
0       594B9
0       1FD52
0       15F30
0       63FF1
0       1DD45
0       6FFD1
0       5FBCF
0       5F7FD
0       1C334
0       18565
1       1D2D4
1       8BBBC
1       21C7E
1       4EDDC
1       1B358
1       23BF3
1       4C1AA
1       507F2
1       8B266
1       25AEC
1       540BF
1       17F36
1       88DDA
1       470D3
1       563DE
1       888ED
1       2A081
1       446BB
1       15AC9
1       873E4
1       41A5C
1       5B3A5
1       14B00
1       2FECD
1       3EA76
1       13ABB
1       84AB8
1       32594
1       5FABC
1       12DFA
1       35484
1       39681
1       61204
1       81365
1       38B01
1       63FCC
1       117EA
1       3BA7C
1       34333
1       651FC
1       7D1B5
1       3F5D7
1       6776C
1       11888
1       42041
1       2EC75
1       11AB8
1       78184
1       461D0
1       6A7D8
1       1197C
1       48CEC
1       2A1DC
1       1203F
1       72ADB
1       4C7EE
1       6D330
1       12E91
1       4F562
1       2576E
1       13259
1       6CE7D
1       23570
1       6EE52
1       14601
1       5658F
1       21627
1       15304
1       663E9
1       1EFA2
1       6FD9C
1       1670B
1       5D3CA
1       1D197
1       176C4
1       5FBBB
1       1BCD0
1       702E1
1       193BE
1       63C7F
1       1AA21
1       1A3C2
1       58D78
1       1939C
1       70101
1       533B2
1       6A1FB
1       17F49
1       1E161
1       51B86
1       17249
1       6F221
1       4CA83
1       70225
1       1653D
1       225B0
1       4AB6F
1       15D54
1       6DDB0
1       464E7
1       75B7A
1       6CBE0
1       26E88
1       439DA
1       14F6C
1       6B9FB
1       3F789
1       7AECD
1       6A355
1       2BE57
1       3CC49
1       14F16
1       68F16
1       37A7A
1       7F1AB
1       6709B
1       314E9
1       821DB
1       15585
1       65A79
1       32018
1       82F2C
1       63487
1       36649
1       858A6
1       16670
1       61EDF
1       2C93F
1       86F30
1       5F12F
1       3BFED
1       8843D
1       18172
1       3F2C2
1       2764E
1       897C0
1       5A75B
1       41117
1       8A86C
1       1AA54
1       44BFC
1       22CA5
1       1C9FA
1       55843
1       468F1
1       8B462
1       1DB8D
1       4A4A9
1       1E5E0
1       2003C
1       50943
1       4BFE9
1       8B2F5
1       2173B
1       4F9EE
1       1AB6A
1       24182
1       4B28F
1       51C00
1       89F89
1       25F31
1       54FC9
1       17B40
1       2949B
1       45EE2
1       165BE
1       8841A
1       2B410
1       5A0AF
1       1529B
1       2E156
1       40112
1       13F79
1       85265
1       30E49
1       5ECCD
1       134F3
1       340A6
1       3AAD0
1       1280F
1       81982
1       38C45
1       633B9
1       123CC
1       3A866
1       35201
1       11C49
1       7D3BA
1       333FA
1       67003
1       11C43
1       41023
1       2FDF7
1       117B4
1       78691
1       2D65A
1       69F10
1       11EA9
1       47DCD
1       2AECC
1       11F77
1       73774
1       28B75
1       6CDDA
1       12ACD
1       4E2F6
1       263DE
1       1332F
1       6DB0B
1       24181
1       6EC7F
1       13FE3
1       553C4
1       21DB7
1       14E93
1       675FF
1       1FB52
1       6FAF2
1       61F7A
1       5C5EF
1       1DBE9
1       170C4
1       60A67
1       1C3B7
1       7045C
1       5C83A
1       63483
1       1AB7C
1       1A3D6
1       59B8E
